PERMNO,CUSIP,Ticker,DlyCalDt,DlyPrc,DlyRetx,DlyClose
14593,03783310,AAPL,20200729,380.1600,0.019168,380.1600
14593,03783310,AAPL,20200730,384.7600,0.012100,384.7600
14593,03783310,AAPL,20200731,425.0400,0.104689,425.0400
14593,03783310,AAPL,20200803,435.7500,0.025198,435.7500
14593,03783310,AAPL,20200804,438.6600,0.006678,438.6600
14593,03783310,AAPL,20200805,440.2500,0.003625,440.2500
14593,03783310,AAPL,20200806,455.6100,0.034889,455.6100
14593,03783310,AAPL,20200807,444.4500,-0.024495,444.4500
14593,03783310,AAPL,20200810,450.9100,0.014535,450.9100
14593,03783310,AAPL,20200811,437.5000,-0.029740,437.5000
14593,03783310,AAPL,20200812,452.0400,0.033234,452.0400
14593,03783310,AAPL,20200813,460.0400,0.017698,460.0400
14593,03783310,AAPL,20200814,459.6300,-0.000891,459.6300
14593,03783310,AAPL,20200817,458.4300,-0.002611,458.4300
14593,03783310,AAPL,20200818,462.2500,0.008333,462.2500
14593,03783310,AAPL,20200819,462.8300,0.001255,462.8300
14593,03783310,AAPL,20200820,473.1000,0.022190,473.1000
14593,03783310,AAPL,20200821,497.4800,0.051532,497.4800
14593,03783310,AAPL,20200824,503.4300,0.011960,503.4300
14593,03783310,AAPL,20200825,499.3000,-0.008204,499.3000
14593,03783310,AAPL,20200826,506.0900,0.013599,506.0900
14593,03783310,AAPL,20200827,500.0400,-0.011954,500.0400
14593,03783310,AAPL,20200828,499.2300,-0.001620,499.2300
14593,03783310,AAPL,20200831,129.0400,0.033912,129.0400
14593,03783310,AAPL,20200901,134.1800,0.039833,134.1800
14593,03783310,AAPL,20200902,131.4000,-0.020718,131.4000
14593,03783310,AAPL,20200903,120.8800,-0.080061,120.8800
14593,03783310,AAPL,20200904,120.9600,0.000662,120.9600
14593,03783310,AAPL,20200908,112.8200,-0.067295,112.8200
14593,03783310,AAPL,20200909,117.3200,0.039887,117.3200
14593,03783310,AAPL,20200910,113.4900,-0.032646,113.4900
14593,03783310,AAPL,20200911,112.0000,-0.013129,112.0000
14593,03783310,AAPL,20200914,115.3550,0.029955,115.3550
14593,03783310,AAPL,20200915,115.5400,0.001604,115.5400
14593,03783310,AAPL,20200916,112.1300,-0.029514,112.1300
14593,03783310,AAPL,20200917,110.3400,-0.015964,110.3400
14593,03783310,AAPL,20200918,106.8400,-0.031720,106.8400
14593,03783310,AAPL,20200921,110.0800,0.030326,110.0800
14593,03783310,AAPL,20200922,111.8100,0.015716,111.8100
14593,03783310,AAPL,20200923,107.1200,-0.041946,107.1200
14593,03783310,AAPL,20200924,108.2200,0.010269,108.2200
14593,03783310,AAPL,20200925,112.2800,0.037516,112.2800
14593,03783310,AAPL,20200928,114.9600,0.023869,114.9600
14593,03783310,AAPL,20200929,114.0900,-0.007568,114.0900
14593,03783310,AAPL,20200930,115.8100,0.015076,115.8100
14593,03783310,AAPL,20201001,116.7900,0.008462,116.7900
14593,03783310,AAPL,20201002,113.0200,-0.032280,113.0200
14593,03783310,AAPL,20201005,116.5000,0.030791,116.5000
14593,03783310,AAPL,20201006,113.1600,-0.028670,113.1600
14593,03783310,AAPL,20201007,115.0800,0.016967,115.0800
14593,03783310,AAPL,20201008,114.9700,-0.000956,114.9700
14593,03783310,AAPL,20201009,116.9700,0.017396,116.9700
14593,03783310,AAPL,20201012,124.4000,0.063521,124.4000
14593,03783310,AAPL,20201013,121.1000,-0.026527,121.1000
14593,03783310,AAPL,20201014,121.1900,0.000743,121.1900
14593,03783310,AAPL,20201015,120.7100,-0.003961,120.7100
14593,03783310,AAPL,20201016,119.0200,-0.014000,119.0200
14593,03783310,AAPL,20201019,115.9800,-0.025542,115.9800
14593,03783310,AAPL,20201020,117.5100,0.013192,117.5100
14593,03783310,AAPL,20201021,116.8700,-0.005446,116.8700
14593,03783310,AAPL,20201022,115.7500,-0.009583,115.7500
14593,03783310,AAPL,20201023,115.0400,-0.006134,115.0400
14593,03783310,AAPL,20201026,115.0500,0.000087,115.0500
14593,03783310,AAPL,20201027,116.6000,0.013472,116.6000
14593,03783310,AAPL,20201028,111.2000,-0.046312,111.2000
14593,03783310,AAPL,20201029,115.3200,0.037050,115.3200
14593,03783310,AAPL,20201030,108.8600,-0.056018,108.8600
